time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.144848360654142860e-01
4.999999999999996114e-02,4.770775849130402813e-03,1.959719947013733587e-01,6.456409595584312600e-01
9.999999999999992228e-02,2.015310560905024181e-02,4.252205697794193551e-01,8.246374497705299955e-01
1.499999999999998834e-01,4.768084801514524407e-02,6.777564302803181784e-01,9.719154374701065580e-01
1.999999999999998446e-01,8.789149734502654798e-02,9.281237120529255424e-01,1.078440747801095112e+00
2.499999999999998057e-01,1.400095944975736362e-01,1.149600759144374207e+00,1.136851934191209335e+00
2.999999999999997669e-01,2.019358944283522472e-01,1.316319174453300045e+00,1.141986507613264923e+00
3.499999999999997558e-01,2.703439353221055441e-01,1.405405200900578189e+00,1.091329024907540468e+00
3.999999999999996891e-01,3.408789378056356623e-01,1.398881739204492991e+00,9.852153779897552255e-01
4.499999999999996225e-01,4.084398731425046836e-01,1.285053146568227556e+00,8.267911993164125395e-01
4.999999999999996114e-01,4.675139331043985380e-01,1.059201705318763898e+00,6.217047848182150060e-01
5.499999999999996003e-01,5.125287289266250434e-01,7.236244492711713105e-01,3.776361870968263923e-01
5.999999999999995337e-01,5.381947061976241065e-01,2.872612116621309775e-01,1.038300083647354932e-01
6.499999999999994671e-01,5.398264424096754777e-01,-2.347158891567654171e-01,-1.892134307528260950e-01
6.999999999999995115e-01,5.136491818034495394e-01,-8.210479870693194737e-01,-4.898137317376612954e-01
7.499999999999994449e-01,4.571063572194550284e-01,-1.444226735251087801e+00,-7.850179989332199959e-01
7.999999999999993783e-01,3.691766574064743733e-01,-2.070365608770138088e+00,-1.060548125854644308e+00
8.499999999999993117e-01,2.506823158300908183e-01,-2.659821087869978395e+00,-1.301117673799904839e+00
8.999999999999992450e-01,1.045295396870565136e-01,-3.169415133319910538e+00,-1.491405171749900171e+00
9.499999999999992895e-01,-6.421391454288417899e-02,-3.556744094193820427e+00,-1.617773934377854994e+00
9.999999999999992228e-01,-2.485011975555819486e-01,-3.786087078510133708e+00,-1.670412849111384768e+00
1.049999999999999156e+00,-4.397906378675446870e-01,-3.834204081031474143e+00,-1.645158618988100674e+00
1.099999999999999201e+00,-6.287683526001650591e-01,-3.693702967925665881e+00,-1.544178856911121223e+00
1.149999999999999023e+00,-8.061420192227034542e-01,-3.372385710733251329e+00,-1.375071265480260818e+00
1.199999999999999067e+00,-9.633024426657318395e-01,-2.888818246207780049e+00,-1.148694327047665498e+00
1.249999999999999112e+00,-1.092708034372595671e+00,-2.266086710905895085e+00,-8.765849985582833126e-01
1.299999999999998934e+00,-1.187964106833271805e+00,-1.526214186230316905e+00,-5.688981424086045902e-01
1.349999999999998979e+00,-1.243678732018365540e+00,-6.870106649719567304e-01,-2.334387336586678519e-01
1.399999999999999023e+00,-1.255237831757292311e+00,2.379737666540329699e-01,1.240950909831750604e-01
1.449999999999998845e+00,-1.218654220092498353e+00,1.236497801183325862e+00,4.987921602433352253e-01
1.499999999999998890e+00,-1.130630116386969197e+00,2.292139475735709198e+00,8.844251231243080991e-01
1.549999999999998712e+00,-9.889419010259029585e-01,3.377086431567298153e+00,1.270888800999157020e+00
1.599999999999998757e+00,-7.931942916831687951e-01,4.444998806907255684e+00,1.641890072499846420e+00
1.649999999999998801e+00,-5.458583083760569776e-01,5.427567515484064131e+00,1.974122371294876555e+00
1.699999999999998623e+00,-2.539669579352138440e-01,6.199056115847807469e+00,1.999999999999998890e+00
1.749999999999998668e+00,6.870391285239402235e-02,6.651526712202995739e+00,2.000000000000000000e+00
1.799999999999998490e+00,4.055510640907321052e-01,6.768061627241635847e+00,2.000000000000000000e+00
1.849999999999998535e+00,7.404945090513338490e-01,6.585468910436444112e+00,2.000000000000000000e+00
1.899999999999998579e+00,1.060406385540121788e+00,6.182169255152849985e+00,2.000000000000000000e+00
1.949999999999998401e+00,1.356657716022821258e+00,5.655378667330366760e+00,2.000000000000000000e+00
1.999999999999998446e+00,1.625017347327722739e+00,5.072193860230910900e+00,1.855486932095638641e+00
2.049999999999998490e+00,1.863475818716228360e+00,4.463918878697270110e+00,1.610619883450927547e+00
2.099999999999998312e+00,2.071578766877389288e+00,3.864812431621592825e+00,1.374492837520361332e+00
2.149999999999998135e+00,2.250652339386374656e+00,3.306666905374694654e+00,1.157765550017640477e+00
2.199999999999998401e+00,2.403209983060993427e+00,2.805907038344271687e+00,9.652840846540950981e-01
2.249999999999998224e+00,2.532298089697349486e+00,2.368182718607561021e+00,7.979525329857262150e-01
2.299999999999998046e+00,2.641063859509833023e+00,1.992478244596492143e+00,6.543387589573528285e-01
2.349999999999998312e+00,2.732502335299161977e+00,1.674135293424821258e+00,5.318051659716320767e-01
2.399999999999998135e+00,2.809327382753628033e+00,1.406819311508749282e+00,4.272209752270633154e-01
2.449999999999997957e+00,2.873919637680460326e+00,1.183677229140188913e+00,3.373585293869429957e-01
2.499999999999998224e+00,2.928317571633011429e+00,9.979430202885307688e-01,2.590703924175947748e-01
2.549999999999998046e+00,2.974229341766671197e+00,8.431921577284344771e-01,1.893511080334051577e-01
2.599999999999997868e+00,3.013051542788335979e+00,7.133803990437330711e-01,1.253120154207486014e-01
2.649999999999998135e+00,3.045886247102677302e+00,6.027465207727590313e-01,6.410487038623857714e-02
2.699999999999997957e+00,3.073550798359331093e+00,5.056257639079941857e-01,2.830579710118893977e-03
2.749999999999997780e+00,3.096576500545430211e+00,4.161927266071887010e-01,-6.159709475030047260e-02
2.799999999999998046e+00,3.115192714455758072e+00,3.281347620637387053e-01,-1.326008084367019946e-01
2.849999999999997868e+00,3.129292734947512589e+00,2.342469416056317533e-01,-2.141237362585580728e-01
2.899999999999997691e+00,3.138377013234918689e+00,1.259264090762558519e-01,-3.108559080218616932e-01
2.949999999999997513e+00,3.141592653589793116e+00,-4.336808689942017736e-19,-3.851703461732493006e-01
